"MLS Number ","Close Price","Baths Full","Baths Half","Beds Total","Lot Size SqFt","Pool","Yr Built","Zip Code","Listing Contract Date","SqFt Total","DOM","Number Of Stories","Lot Size","Selling Agent Full Name","List Agent Full Name","1st Financing","Selling Office Name","List Office Name","Street Name","Street Number","Street Type"
"13074934","1950","2","1","4","9147.6","False","1997","75025","2015-01-08","2790","55","2","","Linda Boggs","Amit Sachdev","","Park One Properties","Sunshine Realtors LLC","Mill Ridge","3001","Drive"
"13078329","1950","2","1","3","8276.4","False","1994","75025","2015-01-15","2463","28","1","Less Than .5 Acre (not Zero)","Judie Diaz Curry","Mimie Han","","Coldwell Banker Res Plano","Ebby Halliday, REALTORS-Coit","Constitution","7705","Drive"
"13100730","1950","3","0","4","6534","False","1998","75013","2015-02-23","2682","14","2","","Hsin-Min Chuang","Hsin-Min Chuang","","Fortune Realty","Fortune Realty","Saint Anne","2045","Drive"
"13104571","1950","2","0","4","7840.8","False","1994","75025","2015-03-03","2404","23","1","Less Than .5 Acre (not Zero)","Kim Jansonius","Pragnesh Shah","","RE/MAX Arbors","Keller Williams Frisco Stars","Summit View","2801","Drive"
"13113688","1950","3","0","4","11761.2","False","1986","75093","2015-03-20","2205","38","1","Less Than .5 Acre (not Zero)","Angie Cupps","Jeff Cheney","","JP & Associates, REALTORS Plan","Keller Williams Frisco Stars","Eden Valley","1609","Lane"
"13117388","1950","2","1","5","","False","2000","75013","2015-03-26","2727","49","2","Less Than .5 Acre (not Zero)","Nicole J. Farren","Leilei Bao","","Butler Property Company","Legacy Premier Group","Wimbledon","2015","Drive"
"13126878","1950","2","1","4","9583.2","False","1973","75075","2015-04-09","1936","16","1","","Dorothy Cline","Dorothy Cline","","The Michael Group","The Michael Group","Coleshire","2416","Drive"
"13128874","1950","2","1","4","6098.4","False","1999","75025","2015-06-20","2742","105","2","Less Than .5 Acre (not Zero)","Louann Wu","Louann Wu","","RE/MAX Dallas Suburbs","RE/MAX Dallas Suburbs","Brycewood","2425","Lane"
"13132964","1950","2","1","4","8276.4","False","1998","75025","2015-04-17","2481","23","2","","Sandeep Srivastava","Wennie F. Mcanally Abr","","New World Realty","RE/MAX Premier Properties","Spring Ridge","8300","Drive"
"13152601","1950","2","0","4","7405.2","False","1998","75025","2015-05-14","2404","18","1","","Lisa Anne Contreras","Frank Hwang","","Better Homes & Gardens, Winans","Marie & Marcus Group","Langston","3312","Drive"
"13163685","1950","2","0","3","5662.8","False","1998","75013","2015-06-02","1952","9","1","","Colleen R Hollis","Donald R Taylor","","RE/MAX Town & Country","Legacy Realty & Management","Suncreek","407","Drive"
"13167125","1950","2","0","3","6098.4","False","1990","75075","2015-06-05","1927","11","1","Less Than .5 Acre (not Zero)","Joe Iley","Joe Iley","","Mission Real Estate Group","Mission Real Estate Group","Keystone","1917","Drive"
"13169725","1950","2","0","3","8276.4","False","1995","75025","2015-06-10","2306","12","1","","Jill H. Groves","Megan C. Mayo","","Berkshire HathawayHS PenFed TX","AH4R Management-Tx, LLC","Kittyhawk","2408","Drive"
"13171001","1950","2","1","4","5227.2","False","1986","75025","2015-06-11","2217","29","2","Less Than .5 Acre (not Zero)","Mitchell Scott Gropper","Hsin-Min Chuang","","Ebby Halliday, REALTORS Plano","Fortune Realty","Steppington","7816","Drive"
"13173538","1950","3","1","3","3484.8","False","2007","75025","2015-06-16","2209","15","2","","Jim P. Ryan","Jim P. Ryan","","RE/MAX Dallas Suburbs","RE/MAX Dallas Suburbs","Dry Creek","7208","Drive"
"13177238","1950","2","0","4","","False","1999","75093","2015-06-22","2107","14","1","Less Than .5 Acre (not Zero)","Akiko Ramdenbourg","Jay Wicker","","Matsushita Realty","Berkshire HathawayHS PenFed TX","Creekstone","4412","Drive"
"13196279","1950","2","0","4","6534","False","1998","75093","2015-07-15","2107","22","1","","Louann Wu","Sonu Varkey","","RE/MAX Dallas Suburbs","New Century Real Estate","Belvedere","4317","Drive"
"13197193","1950","2","1","4","8276.4","True","1985","75093","2015-07-17","2398","6","1","","Louann Wu","Vivien M. Yang Abr","","RE/MAX Dallas Suburbs","Marie & Marcus Group","Pickwick","2625","Lane"
"13199854","1950","2","1","4","","False","1992","75025","2015-07-21","3010","93","2","","Non-Mls Member","Eddie Davis","","NON MLS","Marc A. Birnbaum, Inc.","Avalon","7616","Drive"
"13201029","1950","2","0","2","348.48","True","2008","75093","2015-07-22","1723","58","1","","Terry Smith","Kathy M. Roberts","","Smith & Smith Realty","Keller Williams Realty DPR","Marsh","2601","Lane"
"13202161","1950","3","1","4","6534","False","1998","75013","2015-07-24","2959","4","2",".5 Acre to .99 Acre","Cathy Bitten","Cathy Bitten","","Covenant Realty Corp","Covenant Realty Corp","Fox Glen","2019","Drive"
